alpha,distance,workload_max,displaced,offices
0.0,149.61999999999998,1.0000999999999998,4,"[1, 2, 3, 4]"
0.07142857142857142,29.685000000000006,1.0088,3,"[5, 11, 17, 20]"
0.14285714285714285,29.685000000000006,1.0088,3,"[5, 11, 17, 20]"
0.21428571428571427,25.79,1.0917999999999999,3,"[2, 8, 11, 13]"
0.2857142857142857,25.79,1.0917999999999999,3,"[2, 8, 11, 13]"
0.3571428571428571,20.440000000000005,1.3800999999999999,4,"[5, 11, 12, 22]"
0.42857142857142855,20.440000000000005,1.3800999999999999,4,"[5, 11, 12, 22]"
0.5,20.440000000000005,1.3800999999999999,4,"[5, 11, 12, 22]"
0.5714285714285714,20.440000000000005,1.3800999999999999,4,"[5, 11, 12, 22]"
0.6428571428571428,18.890000000000008,1.6159999999999999,4,"[5, 11, 12, 22]"
0.7142857142857142,18.890000000000008,1.6159999999999999,4,"[5, 11, 12, 22]"
0.7857142857142857,16.57,2.4337,4,"[5, 11, 12, 22]"
0.8571428571428571,16.57,2.4336999999999995,4,"[5, 11, 12, 22]"
0.9285714285714285,16.57,2.4337,4,"[5, 11, 12, 22]"
1.0,16.57,3.0,4,"[5, 11, 12, 22]"
