epsilon,distance,disruption,workload_max,workload_min,workload_std,num_changes
0.6853538918588864,18.88059705709988,0.6852991126832939,1.1991276189779343,0.800003866446607,0.13343755881327923,8
1.0327708952593504,16.93998571805644,1.024068851479101,1.1908568257407435,0.8015809391488987,0.14542857419441052,10
1.3801878986598142,16.4601851151754,1.3638738410524565,1.1908568257407435,0.811934987765802,0.14378229867225864,14
1.727604902060278,16.100955011796945,1.6908616924055708,1.1848972617836047,0.8015809391488987,0.1336205074571538,15
2.075021905460742,15.884075927421009,2.0721218093821716,1.1374568742793942,0.811934987765802,0.1359260710232638,19
2.422438908861206,15.692547582814678,2.417106337547307,1.1848972617836047,0.8226021878568528,0.13617249044600396,20
2.7698559122616695,15.490473034239109,2.765923750972038,1.1848972617836047,0.8191063704846506,0.1456360991400161,21
3.1172729156621335,15.373161950702146,3.1119054736944753,1.1740323549784257,0.8191063704846506,0.14785766462799224,24
3.4646899190625975,15.321103978475255,3.4415646807310667,1.1740323549784257,0.8023036883583247,0.1501775410529878,25
3.8121069224630615,15.237182401675328,3.6926656284450834,1.1744218037918686,0.8023036883583247,0.1552459397181286,27
4.1595239258635255,15.16021184253475,4.153303486042916,1.1744218037918686,0.8128844067981373,0.1561523420955699,28
4.506940929263989,15.120917402430937,4.411245391187874,1.1903192726837097,0.8128844067981373,0.16169173577582738,30
4.854357932664453,15.100674060032135,4.761824131123435,1.1937280534989738,0.8128844067981373,0.15540975880311397,30
5.201774936064917,15.053633769579221,5.189536707347505,1.1937280534989738,0.8128844067981373,0.13902287821380305,32
5.549191939465381,15.037426744581659,5.549191939465381,1.1937280534989738,0.8128844067981373,0.1331116312470794,33
